County Cod,State Code,Census Tra,Geoid,Holc Grade,Holc Id,Id,Map Id,Msamd,Municipali,Name,Polygon Id,St Name,State,Year,Geometry,Holc Area,Holc Prop,Sheets,Tract Prop
1,6,400300,6001400300,C,C9,17,17,36084,,,6764,Oakland,CA,2019,MultiPolygon,0.468681993,0.064052506,1,0.070343132
1,6,400600,6001400600,B,B10,17,17,36084,,,6766,Oakland,CA,2019,Polygon,0.039108476,0.865036817,1,0.294170123
1,6,421900,6001421900,C,C1,17,17,36084,,,6773,Oakland,CA,2019,MultiPolygon,0.38495568,0.019952139,1,0.023218391
1,6,422900,6001422900,D,D2,17,17,36084,,,6774,Oakland,CA,2019,MultiPolygon,0.743028476,0.000494452,1,0.001748251
1,6,407900,6001407900,C,C24,17,17,36084,,,6775,Oakland,CA,2019,Polygon,0.470032875,0.003853017,1,0.004266548
1,6,406500,6001406500,C,C24,17,17,36084,,,6775,Oakland,CA,2019,Polygon,0.470032875,0.006767567,1,0.011057933
1,6,400700,6001400700,C,C7,17,17,36084,,,6676,Oakland,CA,2019,Polygon,0.508972394,0.007322375,1,0.010962555
1,6,421500,6001421500,A,A1,17,17,36084,,,6662,Oakland,CA,2019,Polygon,0.740093518,0.19799014,1,0.238044871
1,6,421600,6001421600,D,D1,17,17,36084,,,6664,Oakland,CA,2019,Polygon,0.087068132,0.100536522,1,0.017042237
1,6,400100,6001400100,A,A3,17,17,36084,,,6665,Oakland,CA,2019,Polygon,0.500162874,0.004994133,1,0.000940028
1,6,422600,6001422600,A,A3,17,17,36084,,,6665,Oakland,CA,2019,Polygon,0.500162874,0.002862165,1,0.002158119
1,6,422300,6001422300,C,C3,17,17,36084,,,6666,Oakland,CA,2019,Polygon,0.374862337,1.16E-05,1,2.01E-05
1,6,420500,6001420500,C,C3,17,17,36084,,,6666,Oakland,CA,2019,Polygon,0.374862337,0.001724809,1,0.004022664
1,6,421700,6001421700,B,B4,17,17,36084,,,6667,Oakland,CA,2019,Polygon,0.507409085,0.122080229,1,0.279592218
