,NAME_x,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,tract,block group,S0601_C01_047E,S1501_C01_006E,S1501_C01_014E,S1501_C01_015E,S2801_C01_001E,S2801_C01_002E,S2801_C01_012E,pct_white,pct_black,pct_native,pct_asian,pct_hisp,pct_other,median_income,pct_college,pct_hs_grad,pct_device_access,pct_internet_access,GEOID,GEOID_tract
13,"Block Group 1, Census Tract 4303, Alameda County, California",1756,1482,880,3,0,557,0,0,42,0,42,274,151,0,430300,1,54821,2758,2552,1234,1334,1288,1200,0.5011389521640092,0.0017084282460136675,0.0,0.3171981776765376,0.1560364464692483,0.04783599088838269,54821,0.4474256707759246,0.9253081943437274,0.9655172413793104,0.8995502248875562,60014303001,6001430300
14,"Block Group 2, Census Tract 4303, Alameda County, California",1026,957,702,40,0,163,0,0,52,0,52,69,44,0,430300,2,54821,2758,2552,1234,1334,1288,1200,0.6842105263157895,0.03898635477582846,0.0,0.15886939571150097,0.06725146198830409,0.10136452241715399,54821,0.4474256707759246,0.9253081943437274,0.9655172413793104,0.8995502248875562,60014303002,6001430300
15,"Block Group 2, Census Tract 4312, Alameda County, California",1747,1294,455,398,0,123,0,0,318,0,318,453,442,0,431200,2,53315,4522,4230,2010,2496,2351,2206,0.2604464796794505,0.227819118488838,0.0,0.07040641099026904,0.2593016599885518,0.3640526617057813,53315,0.4444935869084476,0.9354268022998673,0.9419070512820513,0.8838141025641025,60014312002,6001431200
16,"Block Group 3, Census Tract 4312, Alameda County, California",2374,1865,1362,142,0,361,0,0,0,0,0,509,334,40,431200,3,53315,4522,4230,2010,2496,2351,2206,0.573715248525695,0.05981465880370682,0.0,0.15206402695871946,0.21440606571187867,0.0,53315,0.4444935869084476,0.9354268022998673,0.9419070512820513,0.8838141025641025,60014312003,6001431200
17,"Block Group 1, Census Tract 4312, Alameda County, California",1453,1115,769,53,0,293,0,0,0,0,0,338,31,0,431200,1,53315,4522,4230,2010,2496,2351,2206,0.5292498279421886,0.0364762560220234,0.0,0.20165175498967652,0.2326221610461115,0.0,53315,0.4444935869084476,0.9354268022998673,0.9419070512820513,0.8838141025641025,60014312001,6001431200
18,"Block Group 2, Census Tract 4321, Alameda County, California",1169,976,411,195,0,348,0,0,22,0,22,193,113,0,432100,2,55345,2689,2521,1384,1458,1352,1314,0.3515825491873396,0.16680923866552608,0.0,0.29769033361847735,0.165098374679213,0.037639007698887936,55345,0.5146894756415025,0.9375232428412049,0.9272976680384087,0.9012345679012346,60014321002,6001432100
19,"Block Group 3, Census Tract 4321, Alameda County, California",1009,956,655,86,0,133,15,22,45,0,45,53,37,0,432100,3,55345,2689,2521,1384,1458,1352,1314,0.6491575817641229,0.08523290386521308,0.0,0.13181367690782952,0.05252725470763132,0.12586719524281467,55345,0.5146894756415025,0.9375232428412049,0.9272976680384087,0.9012345679012346,60014321003,6001432100
20,"Block Group 1, Census Tract 4321, Alameda County, California",1396,1006,547,132,0,185,48,6,88,0,88,390,66,0,432100,1,55345,2689,2521,1384,1458,1352,1314,0.39183381088825214,0.09455587392550144,0.0,0.13252148997134672,0.2793696275071633,0.16475644699140402,55345,0.5146894756415025,0.9375232428412049,0.9272976680384087,0.9012345679012346,60014321001,6001432100
21,"Block Group 1, Census Tract 4323, Alameda County, California",1690,859,289,100,0,281,0,0,189,0,189,831,280,14,432300,1,38582,3248,2698,1184,1655,1557,1468,0.17100591715976332,0.05917159763313609,0.0,0.16627218934911242,0.49171597633136094,0.22366863905325443,38582,0.3645320197044335,0.8306650246305419,0.9407854984894259,0.8870090634441088,60014323001,6001432300
22,"Block Group 3, Census Tract 4323, Alameda County, California",2387,1853,415,401,16,943,0,0,78,0,78,534,319,8,432300,3,38582,3248,2698,1184,1655,1557,1468,0.17385839966485128,0.1679932970255551,0.006702974444909929,0.3950565563468789,0.22371177209886886,0.06535400083787181,38582,0.3645320197044335,0.8306650246305419,0.9407854984894259,0.8870090634441088,60014323003,6001432300
