Name,Wait Time,Delivery Fee,Link,Delivery Address,Geoid
Philly's Best (Jingletown),N/A,2.99,https://postmates.com/store/phillys-best-jingletown/1KLs4MxmVZCQetIxNTprTQ,3440 E 18th St Oakland CA,60014072003
Dirty Burger (Oakland),40–50 min,2.99,https://postmates.com/store/dirty-burger-oakland/ysCyucfnU3mFD81lNrV4Bw,3440 E 18th St Oakland CA,60014072003
Toasty's Breakfast Burritos (Oakland),45–55 min,2.99,https://postmates.com/store/toastys-breakfast-burritos-oakland/YOWaRzZbUMSMGnPj8o9fSg,3440 E 18th St Oakland CA,60014072003
LIL BURMA (2353 E 12th St),35–45 min,2.99,https://postmates.com/store/lil-burma-2353-e-12th-st/ABiiKYxkXqyIkHo6sLBOqA,3440 E 18th St Oakland CA,60014072003
Burger Latino (5333 Adeline St),45–55 min,5.99,https://postmates.com/store/burger-latino-5333-adeline-st/DutD7hRLUJKXSAJUksYlSQ,3440 E 18th St Oakland CA,60014072003
Cris Las Palmas,35–45 min,3.99,https://postmates.com/store/cris-las-palmas/IG-BhS41XXC9fji8GY7yGg,3440 E 18th St Oakland CA,60014072003
See's Candies (San Leandro VS),45–55 min,5.99,https://postmates.com/store/sees-candies-san-leandro-vs/ZGXly4IqUd-tFdOQ2PyEDg,3440 E 18th St Oakland CA,60014072003
La Casa De Maria,50–60 min,5.99,https://postmates.com/store/la-casa-de-maria/BnGJit4dWmK0W0PLmJjFnA,3440 E 18th St Oakland CA,60014072003
Guru Curry House,40–50 min,2.99,https://postmates.com/store/guru-curry-house/MYU-FAU8QBaA6r-i2wD5ag,3440 E 18th St Oakland CA,60014072003
Nikko Sushi,50–60 min,5.99,https://postmates.com/store/nikko-sushi/hBJ6A1XoTjC0yWqoqtXodA,3440 E 18th St Oakland CA,60014072003
CREAM (Berkeley),55–65 min,7.99,https://postmates.com/store/cream-berkeley/uVtgD4cRQhipNGUFSx52iQ,3440 E 18th St Oakland CA,60014072003
SAVEMORE MARKET & LIQUOR,20–30 min,4.49,https://postmates.com/store/savemore-market-%26-liquor/DexkeUbyR86zELCtTXsK_A,3440 E 18th St Oakland CA,60014072003
Zachary's Chicago Pizza - Grand Lake,60–70 min,2.99,https://postmates.com/store/zacharys-chicago-pizza-grand-lake/9tfcRw9BQCSY33jotz1M7g,3440 E 18th St Oakland CA,60014072003
Tuk Tuk Thai,50–60 min,6.99,https://postmates.com/store/tuk-tuk-thai/AzxeZtG_S9CA8LpOTtfDuw,3440 E 18th St Oakland CA,60014072003
Zachary's Chicago Pizza - Oakland,65–75 min,2.99,https://postmates.com/store/zacharys-chicago-pizza-oakland/jH38XumgTaSUc_NcUqsc_w,3440 E 18th St Oakland CA,60014072003
Holly's Mandarin,45–55 min,2.99,https://postmates.com/store/hollys-mandarin/8OyAf4vqThCs-GEvUcdN3g,3440 E 18th St Oakland CA,60014072003
United Paleteria Y Neveria,35–45 min,2.99,https://postmates.com/store/united-paleteria-y-neveria/iJ9huukLTxKkJR3CmiqeDw,3440 E 18th St Oakland CA,60014072003
Cosmic Wings - Alameda,45–55 min,3.99,https://postmates.com/store/cosmic-wings-alameda/Uq7mFrS6RRiNga5hXxDcKQ,3440 E 18th St Oakland CA,60014072003
Oasis Kitchen,40–50 min,3.99,https://postmates.com/store/oasis-kitchen/TUTMMZBOTcSD4M3BPbzCCw,3440 E 18th St Oakland CA,60014072003
Peony Seafood Restaurant,60–70 min,4.99,https://postmates.com/store/peony-seafood-restaurant/QEOk7p7BSverc0eLEzY47Q,3440 E 18th St Oakland CA,60014072003
Cana,40–50 min,3.99,https://postmates.com/store/cana/Rw1C_OxKSLqe_8tpnGC0LA,3440 E 18th St Oakland CA,60014072003
La Raza Market and Taqueria,40–50 min,2.99,https://postmates.com/store/la-raza-market-and-taqueria/EN4wB0G8SBOvtyEYmA-JIw,3440 E 18th St Oakland CA,60014072003
