Name,Wait Time,Delivery Fee,Link,Delivery Address,Geoid
Philly's Best (Jingletown),N/A,3.99,https://postmates.com/store/phillys-best-jingletown/1KLs4MxmVZCQetIxNTprTQ,210 14th St Oakland CA,60014034002
Dirty Burger (Oakland),45–55 min,3.99,https://postmates.com/store/dirty-burger-oakland/ysCyucfnU3mFD81lNrV4Bw,210 14th St Oakland CA,60014034002
Toasty's Breakfast Burritos (Oakland),45–55 min,3.99,https://postmates.com/store/toastys-breakfast-burritos-oakland/YOWaRzZbUMSMGnPj8o9fSg,210 14th St Oakland CA,60014034002
Pressed Acai Bowls - College Ave,35–45 min,4.99,https://postmates.com/store/pressed-acai-bowls-college-ave/HYM6WUmGQpeZXGkSZpLpxg,210 14th St Oakland CA,60014034002
"Philly Fresh Cheesesteaks (5333 Adeline St ,)",35–45 min,3.99,https://postmates.com/store/philly-fresh-cheesesteaks-5333-adeline-st/G8cVN2B6XECblewlDZHmMg,210 14th St Oakland CA,60014034002
Brekkie Bagels (2353 E 12th St),50–60 min,3.99,https://postmates.com/store/brekkie-bagels-2353-e-12th-st/MjgB0ukDWpuDOpWoNW21Qw,210 14th St Oakland CA,60014034002
Earthbar (Berkeley),40–50 min,5.99,https://postmates.com/store/earthbar-berkeley/bT9QODmSUmOHMEnvlN8Y-g,210 14th St Oakland CA,60014034002
THE IMPOSSIBLE SHOP™ (OAKLAND),35–45 min,3.99,https://postmates.com/store/the-impossible-shoptm-oakland/mpXWJcnnWkaqMAxgkcsdyw,210 14th St Oakland CA,60014034002
Starbucks (1200 Clay St),15–25 min,2.99,https://postmates.com/store/starbucks-1200-clay-st/Znb5RRHHQy2qszVh2qWL9A,210 14th St Oakland CA,60014034002
SAVEMORE MARKET & LIQUOR,20–30 min,4.49,https://postmates.com/store/savemore-market-%26-liquor/DexkeUbyR86zELCtTXsK_A,210 14th St Oakland CA,60014034002
Bangkok Garden,40–50 min,2.99,https://postmates.com/store/bangkok-garden/77AqXeMjT0Ctb0Atu6u2pw,210 14th St Oakland CA,60014034002
Sweet Bar Bakery,20–30 min,3.99,https://postmates.com/store/sweet-bar-bakery/K7n6RjXYQx60sXU_ZZhsJA,210 14th St Oakland CA,60014034002
McDonald's® (Jackson St),15–25 min,3.99,https://postmates.com/store/mcdonalds-jackson-st/mqXdYXpERpG2iQVIdgBnEQ,210 14th St Oakland CA,60014034002
Ole Ole Burrito Express ( Telegraph),30–40 min,3.99,https://postmates.com/store/ole-ole-burrito-express-telegraph/4yTqDycARKO-8TUXdg8b2w,210 14th St Oakland CA,60014034002
IHOP 1765,35–45 min,3.99,https://postmates.com/store/ihop-1765/TrjiciuKQ8-clamaZUSSuQ,210 14th St Oakland CA,60014034002
"The Habit Burger Grill (2640 5th St, Suite #10)",20–30 min,3.99,https://postmates.com/store/the-habit-burger-grill-2640-5th-st-suite-%2310/IjaQppaIT7WpkqA5eHt2_g,210 14th St Oakland CA,60014034002
