Name,Wait Time,Delivery Fee,Link,Delivery Address,Geoid,Latitude,Longitude,Restaurant Address,Restaurant Latitude,Restaurant Longitude,Distance
Bualuang Thai Cuisine,60–70 min,12.99,https://postmates.com/store/bualuang-thai-cuisine/K54fe40CTTe0l7BF8p2-CA,3440 E 18th St Oakland CA,60014072003,37.7810475,-122.2207426,"1166 Solano Ave, Albany, CA 94706",37.890188,-122.296533,8.59330262531188
Spice I Am,35–45 min,3.99,https://postmates.com/store/spice-i-am/YRoPFAOjSPWDC4Z5ePOG5g,3440 E 18th St Oakland CA,60014072003,37.7810475,-122.2207426,"1353 Park St, Alameda, CA 94501",37.763839,-122.243312,1.7132286905670746
