Countyfp,Blkgrpce,Funcstat,Geoid,Latitude,Longitude,Mtfcc,Namelsad,Statefp,Tractce,Aland,Awater,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1,2,S,60014012002,37.8297224,-122.2578312,G5030,Block Group 2,6,401200,144897,0,37.829773,-122.257702,1,rooftop,4131,Manila Ave,,,Oakland,CA,Alameda County,94609,US,Alameda
1,1,S,60014013001,37.8208806,-122.2653728,G5030,Block Group 1,6,401300,445067,0,37.820519,-122.265339,1,rooftop,435,Hawthorne Ave,,,Oakland,CA,Alameda County,94609,US,Alameda
1,2,S,60014013002,37.8151809,-122.2698957,G5030,Block Group 2,6,401300,199540,0,37.815122,-122.269887,1,rooftop,559,Sycamore St,,,Oakland,CA,Alameda County,94612,US,Alameda
1,1,S,60014047001,37.8112653,-122.2106433,G5030,Block Group 1,6,404700,606892,0,37.811118,-122.210674,1,rooftop,1555,Leimert Blvd,,,Oakland,CA,Alameda County,94602,US,Alameda
1,2,S,60014045022,37.8353471,-122.2066626,G5030,Block Group 2,6,404502,680323,0,37.835252,-122.206626,1,rooftop,5938,Almaden Ln,,,Oakland,CA,Alameda County,94611,US,Alameda
1,1,S,60014045021,37.8405522,-122.20378,G5030,Block Group 1,6,404502,508580,0,37.840476,-122.203642,1,rooftop,1,Overlake Ct,,,Oakland,CA,Alameda County,94611,US,Alameda
1,2,S,60014096002,37.753611,-122.1705009,G5030,Block Group 2,6,409600,148064,0,37.753518,-122.170635,1,rooftop,8725,Birch St,,,Oakland,CA,Alameda County,94621,US,Alameda
1,1,S,60014099001,37.7673575,-122.145138,G5030,Block Group 1,6,409900,1422956,0,37.765599,-122.143969,0.96,nearest_street,4408,St Andrews Rd,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
1,2,S,60014216002,37.8837199,-122.255285,G5030,Block Group 2,6,421600,506555,0,37.883774,-122.255178,1,rooftop,3025,Buena Vista Way,,,Berkeley,CA,Alameda County,94708,US,Alameda
1,4,S,60014052004,37.8075667,-122.2471899,G5030,Block Group 4,6,405200,164153,0,37.807704,-122.247278,1,rooftop,541,Merritt Ave,,,Oakland,CA,Alameda County,94610,US,Alameda
1,1,S,60014223001,37.8763236,-122.2781388,G5030,Block Group 1,6,422300,159604,0,37.876191,-122.278375,1,rooftop,1630,McGee Ave,,,Berkeley,CA,Alameda County,94703,US,Berkeley
1,3,S,60014014003,37.8166863,-122.2731129,G5030,Block Group 3,6,401400,246694,0,37.816781,-122.273068,1,rooftop,706,26th St,,,Oakland,CA,Alameda County,94612,US,Alameda
1,2,S,60014016002,37.8158604,-122.281218,G5030,Block Group 2,6,401600,261886,0,37.815806,-122.28121,1,rooftop,2236,Linden St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,1,S,60014016001,37.8184286,-122.2816672,G5030,Block Group 1,6,401600,374250,0,37.818271,-122.281608,1,rooftop,1089,26th St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,1,S,60014098001,37.7641418,-122.1551932,G5030,Block Group 1,6,409800,755183,0,37.765734,-122.152288,0.98,nearest_street,,I 580,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
1,1,S,60014001001,37.8676275,-122.231946,G5030,Block Group 1,6,400100,6894339,0,37.867727,-122.230783,0.99,rooftop,8071,Claremont Ave,,,Berkeley,CA,Alameda County,94705,US,Alameda
1,2,S,60014046002,37.8293961,-122.1903066,G5030,Block Group 2,6,404600,361422,0,37.829424,-122.190213,1,rooftop,6203,Elderberry Dr,,,Oakland,CA,Alameda County,94611,US,Alameda
1,2,S,60014044002,37.8372904,-122.2170523,G5030,Block Group 2,6,404400,559680,0,37.837372,-122.217118,1,rooftop,5639,Florence Te,,,Oakland,CA,Alameda County,94611,US,Alameda
1,1,S,60014029001,37.807172,-122.2667847,G5030,Block Group 1,6,402900,391800,0,37.807272,-122.266794,1,rooftop,1919,Webster St,,,Oakland,CA,Alameda County,94612,US,Alameda
1,4,S,60014058004,37.7963775,-122.236514,G5030,Block Group 4,6,405800,96490,0,37.796293,-122.236641,1,rooftop,1341,E 25th St,,,Oakland,CA,Alameda County,94606,US,Alameda
1,5,S,60014096005,37.7545984,-122.1758005,G5030,Block Group 5,6,409600,186223,0,37.754682,-122.175766,1,rooftop,8426,Holly St,,,Oakland,CA,Alameda County,94621,US,Alameda
1,3,S,60014227003,37.8678056,-122.2528516,G5030,Block Group 3,6,422700,100646,0,37.867933,-122.252784,1,rooftop,2727,Channing Way,,,Berkeley,CA,Alameda County,94704,US,Alameda
1,2,S,60014081002,37.7832954,-122.1662839,G5030,Block Group 2,6,408100,3064327,0,37.783338,-122.166183,1,rooftop,6234,Ridgemont Dr,,,Oakland,CA,Alameda County,94619,US,Alameda
1,1,S,60014033001,37.7937603,-122.2667344,G5030,Block Group 1,6,403300,737623,96764,37.793855,-122.266954,1,rooftop,300,Oak St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,2,S,60014033002,37.7983201,-122.266823,G5030,Block Group 2,6,403300,178214,0,37.798536,-122.266666,1,rooftop,178,9th St,,,Oakland,CA,Alameda County,94607,US,Alameda
