Name,Wait Time,Delivery Fee,Link,Delivery Address,Geoid
Philly's Best (Jingletown),N/A,3.49,https://postmates.com/store/phillys-best-jingletown/1KLs4MxmVZCQetIxNTprTQ,2146 10th Ave Oakland CA,60014055002
Dirty Burger (Oakland),40–50 min,3.49,https://postmates.com/store/dirty-burger-oakland/ysCyucfnU3mFD81lNrV4Bw,2146 10th Ave Oakland CA,60014055002
LIL BURMA (2353 E 12th St),35–45 min,3.49,https://postmates.com/store/lil-burma-2353-e-12th-st/ABiiKYxkXqyIkHo6sLBOqA,2146 10th Ave Oakland CA,60014055002
Toasty's Breakfast Burritos (Oakland),45–55 min,3.49,https://postmates.com/store/toastys-breakfast-burritos-oakland/YOWaRzZbUMSMGnPj8o9fSg,2146 10th Ave Oakland CA,60014055002
Burger Latino (5333 Adeline St),40–50 min,5.49,https://postmates.com/store/burger-latino-5333-adeline-st/DutD7hRLUJKXSAJUksYlSQ,2146 10th Ave Oakland CA,60014055002
"Philly Fresh Cheesesteaks (5333 Adeline St ,)",40–50 min,5.49,https://postmates.com/store/philly-fresh-cheesesteaks-5333-adeline-st/G8cVN2B6XECblewlDZHmMg,2146 10th Ave Oakland CA,60014055002
Cris Las Palmas,35–45 min,5.49,https://postmates.com/store/cris-las-palmas/IG-BhS41XXC9fji8GY7yGg,2146 10th Ave Oakland CA,60014055002
iLava Hawaiian Barbecue (Adeline),35–45 min,5.49,https://postmates.com/store/ilava-hawaiian-barbecue-adeline/zVjqGnOaTSOcc8I6LERVqw,2146 10th Ave Oakland CA,60014055002
Guru Curry House,40–50 min,2.49,https://postmates.com/store/guru-curry-house/MYU-FAU8QBaA6r-i2wD5ag,2146 10th Ave Oakland CA,60014055002
SAVEMORE MARKET & LIQUOR,20–30 min,3.99,https://postmates.com/store/savemore-market-%26-liquor/DexkeUbyR86zELCtTXsK_A,2146 10th Ave Oakland CA,60014055002
Zachary's Chicago Pizza - Grand Lake,55–65 min,1.49,https://postmates.com/store/zacharys-chicago-pizza-grand-lake/9tfcRw9BQCSY33jotz1M7g,2146 10th Ave Oakland CA,60014055002
Mijori Japanese Restaurant,40–50 min,1.49,https://postmates.com/store/mijori-japanese-restaurant/SbICoOCvSuSj2OQsm9XYLg,2146 10th Ave Oakland CA,60014055002
McDonald's® (Jackson St),25–35 min,5.49,https://postmates.com/store/mcdonalds-jackson-st/mqXdYXpERpG2iQVIdgBnEQ,2146 10th Ave Oakland CA,60014055002
Holly's Mandarin,45–55 min,2.49,https://postmates.com/store/hollys-mandarin/8OyAf4vqThCs-GEvUcdN3g,2146 10th Ave Oakland CA,60014055002
Burma Superstar,50–60 min,2.49,https://postmates.com/store/burma-superstar/aOhmvwXJTAuibctDKbuJ9w,2146 10th Ave Oakland CA,60014055002
Yang Chow Restaurant,30–40 min,3.49,https://postmates.com/store/yang-chow-restaurant/qpzjU8z6Q1mJROC7n4rbtg,2146 10th Ave Oakland CA,60014055002
Oasis Kitchen,35–45 min,3.49,https://postmates.com/store/oasis-kitchen/TUTMMZBOTcSD4M3BPbzCCw,2146 10th Ave Oakland CA,60014055002
Cana,35–45 min,3.49,https://postmates.com/store/cana/Rw1C_OxKSLqe_8tpnGC0LA,2146 10th Ave Oakland CA,60014055002
United Paleteria Y Neveria,35–45 min,4.49,https://postmates.com/store/united-paleteria-y-neveria/iJ9huukLTxKkJR3CmiqeDw,2146 10th Ave Oakland CA,60014055002
Peony Seafood Restaurant,50–60 min,4.49,https://postmates.com/store/peony-seafood-restaurant/QEOk7p7BSverc0eLEzY47Q,2146 10th Ave Oakland CA,60014055002
Cosmic Wings - Alameda,45–55 min,5.49,https://postmates.com/store/cosmic-wings-alameda/Uq7mFrS6RRiNga5hXxDcKQ,2146 10th Ave Oakland CA,60014055002
La Raza Market and Taqueria,40–50 min,5.49,https://postmates.com/store/la-raza-market-and-taqueria/EN4wB0G8SBOvtyEYmA-JIw,2146 10th Ave Oakland CA,60014055002
Shake Shack (1954 Telegraph Avenue),35–45 min,4.49,https://postmates.com/store/shake-shack-1954-telegraph-avenue/W7fSKEGQQfyE1wOrUGiv_w,2146 10th Ave Oakland CA,60014055002
Sticky Rice Cafe,25–35 min,3.49,https://postmates.com/store/sticky-rice-cafe/6bhWfR4ZTJeahMlfKEZTEA,2146 10th Ave Oakland CA,60014055002
Aguachiles El Tamarindo,30–40 min,4.49,https://postmates.com/store/aguachiles-el-tamarindo/etqdPslSTRmHFvb4QsLU4g,2146 10th Ave Oakland CA,60014055002
Aburaya,40–50 min,4.49,https://postmates.com/store/aburaya/IRRvg68-SOSfp1V__u6pSA,2146 10th Ave Oakland CA,60014055002
